PROVEEDOR;REF.;COLONIALES;FORMATO;PRECIO/FORMATO
CAFER;20007;FLAN VAINILLA CLESA 4x105 GR;KG;0.17
CAFER;20109;YOGUR DESNATADO FRESA ASTURIANA PACK 4 UD;L;0.13
CAFER;20110;YOGUR DESNATADO LIMON ASTURIANA PACK 4 UD;L;0.13
CAFER;20105;YOGUR DESNATADO NATURAL ASTURIANA PACK 4 UD;L;0.13
CAFER;20166;YOGUR NATURAL AZUCARADO PACK 4 UD;L;0.13
CAFER;20106;YOGUR ASTURIANA FRESA PACK 4 UD;L;0.12
CAFER;20111;YOGUR ASTURIANA MACEDONIA PACK 4 UD;L;0.12
CAFER;10061;CAFE MOLIDO 250 GR;KG;6.20
CAFER;10095;COLORANTE ALIMENTARIO 1 KG;KG;2.21
CAFER;10100;CREMA CHAMPIÑON 875 GR;L;2.86
CAFER;10316-1;GAZPACHO 1 L;L;2.06
CAFER;10174;MAHONESA BOTE 4 KG.;KG;1.06
CAFER;10314;MALTA MOLIDA 500 GR;KG;2.24
CAFER;20028;MANTEQUILLA 500 GR;KG;4.90
CAFER;10180;MELOCOTON EN ALMIBAR 3 KG;KG;1.00
CAFER;10181-1;MEMBRILLO 3 KG;KG;2.71
CAFER;10501;MERMELADA 340 GRS. CIRUELA;KG;3.99
CAFER;10501;MERMELADA 340 GRS. FRESA;KG;3.99
CAFER;10501;MERMELADA 340 GRS. MELOCOTON;KG;3.99
CAFER;10610;MERMELADA S/A HERO 280GR;KG;5.85
CAFER;10610;MERMELADA S/A HERO 280GR  FRESA;KG;5.85
CAFER;10610;MERMELADA S/A HERO 280GR MELOCOTON;KG;5.85
CAFER;10206;NUEZ MOSCADA MOLIDA 900 GR;KG;12.63
CAFER;50115;PAN MOLDE 800 GRS.;KG;1.56
CAFER;50117;PAN MOLDE INTEGRAL;KG;3.18
CAFER;10227;PIMIENTA NEGRA MOLIDA KG;KG;8.90
CAFER;10224;PIMENTON DULCE 1 KG.;KG;3.86
CAFER;10232;PIÑA EN ALMIBAR 3 KG ;KG;1.33
CAFER;20043;QUESITOS 350 GR;KG;8.97
